codmpio,depto,mpio,found,source,found2,comments
5001,ANTIOQUIA,MEDELLIN,1675,BZ93,,
5002,ANTIOQUIA,ABEJORRAL,1811,BZ93,,
5021,ANTIOQUIA,ALEJANDRIA,1886,BZ93,,
5030,ANTIOQUIA,AMAGA,1788,WEB.MUN,,
5031,ANTIOQUIA,AMALFI,1838,BZ93,,
5034,ANTIOQUIA,ANDES,1850,BZ93,,
5036,ANTIOQUIA,ANGELOPOLIS,1895,BZ93,,
5038,ANTIOQUIA,ANGOSTURA,1814,BZ93,,
5040,ANTIOQUIA,ANORI,1808,BZ93,,
5042,ANTIOQUIA,ANTIOQUIA,1541,BZ93,,
5044,ANTIOQUIA,ANZA,1757,WEB.MUN,,Before La Fragua
5045,ANTIOQUIA,APARTADO,1967,BZ93,,
5051,ANTIOQUIA,ARBOLETES,1920,BZ93,,
5055,ANTIOQUIA,ARGELIA,1891,BZ93,,
5059,ANTIOQUIA,ARMENIA,1813,BZ93,,
5079,ANTIOQUIA,BARBOSA,1812,WEB.MUN,,First populated then recogniced. Before Llanos de Barbosa
5088,ANTIOQUIA,BELLO,1576,WEB.MUN,1883,Before Hatoviejo
5091,ANTIOQUIA,BETANIA,1889,BZ93,,
5093,ANTIOQUIA,BETULIA,1884,WEB.MUN,,Unified San Mateo + Betulia
5101,ANTIOQUIA,CIUDAD BOLIVAR,1839,BZ93,,
5105,ANTIOQUIA,BRICEÑO,1886,BZ93,,
5113,ANTIOQUIA,BURITICA,1614,BZ93,,
5120,ANTIOQUIA,CACERES,1576,BZ93,,
5125,ANTIOQUIA,CAICEDO,1870,BZ93,,
5129,ANTIOQUIA,CALDAS,1840,BZ93,,
5134,ANTIOQUIA,CAMPAMENTO,1820,BZ93,,
5138,ANTIOQUIA,CAÑASGORDAS,1776,WEB.MUN,,
5142,ANTIOQUIA,CARACOLI,1876,BZ93,,
5145,ANTIOQUIA,CARAMANTA,1557,BZ93,,
5147,ANTIOQUIA,CAREPA,1912,BZ93,,
5148,ANTIOQUIA,EL CARMEN DE VIBORAL,1807,BZ93,1714,
5150,ANTIOQUIA,CAROLINA,1787,WEB.MUN,,
5154,ANTIOQUIA,CAUCASIA,1918,BZ93,,
5172,ANTIOQUIA,CHIGORODO,1878,BZ93,,
5190,ANTIOQUIA,CISNEROS,1910,BZ93,,
5197,ANTIOQUIA,COCORNA,1825,BZ93,,
5206,ANTIOQUIA,CONCEPCION,1771,WEB.MUN,,
5209,ANTIOQUIA,CONCORDIA,1830,BZ93,,
5212,ANTIOQUIA,COPACABANA,1541,WEB.MUN,1702,Before Tasajera
5234,ANTIOQUIA,DABEIBA,1850,BZ93,,
5237,ANTIOQUIA,DONMATIAS,1624,WEB.MUN,1750,First populated then recogniced 
5240,ANTIOQUIA,EBEJICO,1830,BZ93,,
5250,ANTIOQUIA,EL BAGRE,1979,BZ93,,
5264,ANTIOQUIA,ENTRERRIOS,1835,BZ93,,
5266,ANTIOQUIA,ENVIGADO,1680,BZ93,,
5282,ANTIOQUIA,FREDONIA,1830,WEB.MUN,,
5284,ANTIOQUIA,FRONTINO,1806,BZ93,,
5306,ANTIOQUIA,GIRALDO,1845,BZ93,,
5308,ANTIOQUIA,GIRARDOTA,1833,WEB.MUN,,
